row,col,code,name
1,2,1,Волинська
1,5,2,м.Київ
1,6,3,Чернігівська
1,7,4,Сумська
2,1,5,Львівська
2,2,6,Тернопільська
2,3,7,Рівненська
2,4,8,Житомирська
2,5,9,Київська
2,6,10,Полтавська
2,7,11,Харківська
2,8,12,Луганська
3,1,13,Закарпатська
3,2,14,Івано-Франківська
3,3,15,Хмельницька
3,4,16,Вінницька
3,5,17,Черкаська
3,6,18,Кіровоградська
3,7,19,Дніпропетровська
3,8,20,Донецька
4,2,21,Чернівецька
4,5,22,Миколаївська
4,6,23,Херсонська
4,7,24,Запорізька
4,4,25,Одеська
5,6,26,Кримська
5,5,27,Севастопольська
